identity,label_index,support,precision,recall,f1-score,underrepresented,not_predicted
LynxID2025_lynx_00,0,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_01,1,6.0,1.0,0.8333333333333334,0.9090909090909091,False,False
LynxID2025_lynx_03,3,15.0,0.9230769230769231,0.8,0.8571428571428571,False,False
LynxID2025_lynx_04,4,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_05,5,30.0,0.9032258064516129,0.9333333333333333,0.9180327868852459,False,False
LynxID2025_lynx_06,6,23.0,1.0,1.0,1.0,False,False
LynxID2025_lynx_07,7,7.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,False,False
LynxID2025_lynx_09,9,3.0,0.75,1.0,0.8571428571428571,True,False
LynxID2025_lynx_11,10,1.0,1.0,1.0,1.0,True,False
LynxID2025_lynx_13,11,5.0,0.45454545454545453,1.0,0.625,False,False
LynxID2025_lynx_14,12,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_16,14,7.0,1.0,0.8571428571428571,0.9230769230769231,False,False
LynxID2025_lynx_17,15,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_18,16,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_25,18,7.0,1.0,0.5714285714285714,0.7272727272727273,False,False
LynxID2025_lynx_27,20,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_28,21,12.0,0.6666666666666666,0.5,0.5714285714285714,False,False
LynxID2025_lynx_29,22,5.0,1.0,0.8,0.8888888888888888,False,False
LynxID2025_lynx_31,23,7.0,0.75,0.8571428571428571,0.8,False,False
LynxID2025_lynx_32,24,51.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,False,False
LynxID2025_lynx_33,25,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_34,26,4.0,0.5,0.5,0.5,True,False
LynxID2025_lynx_35,27,2.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_36,28,3.0,1.0,0.6666666666666666,0.8,True,False
LynxID2025_lynx_37,29,9.0,0.9,1.0,0.9473684210526315,False,False
LynxID2025_lynx_38,30,4.0,1.0,0.75,0.8571428571428571,True,False
LynxID2025_lynx_39,31,1.0,0.0,0.0,0.0,True,True
LynxID2025_lynx_40,32,4.0,0.75,0.75,0.75,True,False
LynxID2025_lynx_41,33,4.0,0.8,1.0,0.8888888888888888,True,False
LynxID2025_lynx_42,34,2.0,1.0,0.5,0.6666666666666666,True,False
LynxID2025_lynx_43,35,47.0,0.8703703703703703,1.0,0.9306930693069307,False,False
LynxID2025_lynx_45,36,17.0,0.8947368421052632,1.0,0.9444444444444444,False,False
